"year","city","Neig","Month","HI","ADPdi","ADTpi","date","Prec_0","Prec_1","Prec_2","Prec_3","T_Min_0","T_Min_1","T_Min_2","T_Min_3","T_Med_0","T_Med_1","T_Med_2","T_Med_3","T_Max_0","T_Max_1","T_Max_2","T_Max_3"
1,"CGR","Carlota","2009_12",0,0.106870229,8.3969465649,"2009-12-11",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Carlota","2010_01",0,0.0594059406,4.9504950495,"2010-01-15",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
1,"CGR","Carlota","2010_02",0,0.0333333333,2.8571428571,"2010-02-05",35.4,30.8,74.4,86.7,18.03,15.66,18.5,19.04,20.5099236111,21.5180833333,22.0879403794,22.3545069444,22.6,26.02,23.79,27.73
1,"CGR","Carlota","2010_03",0,0.0358744395,2.6905829596,"2010-03-12",0,31.3,15.4,70.7,19.03,17.12,18.8,16.34,21.7521666667,23.9212777778,22.4494444444,19.8557291667,23.92,30.14,26.26,24.26
1,"CGR","Carlota","2010_04",0,0.0128205128,1.2820512821,"2010-04-09",0,34.3,4.9,22.8,11.29,12.73,18.03,19.03,16.9937916667,17.8195486111,22.7165694444,22.9207916667,24.82,24.53,27.36,28.94
1,"CGR","Carlota","2010_05",0,0.0378151261,2.9411764706,"2010-05-14",10.4,19.2,0,0,7.16,7.22,14.6,16.97,13.8423263889,12.3918333333,19.9220069444,21.826125,21.33,19.26,24.39,28.57
1,"CGR","Carlota","2010_06",0,0.0125,1.25,"2010-06-11",1.4,0,17.6,19,10.16,7.49,8.1,9.69,16.4909166667,13.6637083333,13.1601736111,15.1970833333,23.94,20.46,19.87,19.43
1,"CGR","Carlota","2010_07",0,0,0,"2010-07-09",0,0,0,0,4.01,14.22,11.82,14.08,8.3825152778,20.6605902778,18.9426736111,21.4920902778,13.12,28.74,26.73,29.07
1,"CGR","Carlota","2010_08",0,0.0041666667,0.4166666667,"2010-08-06",0,0,0,9.7,5,8.7,11.42,7.89,10.7849354167,11.69825,19.0854722222,8.9389583333,19.33,15.52,24.85,10.84
1,"CGR","Carlota","2010_09",0,0.0292887029,2.0920502092,"2010-09-17",20.1,0,0,0,16.49,13.91,11.56,17.29,23.6859236111,19.3714652778,17.4412152778,26.6401944444,32.55,29.1,25.43,33.99
1,"CGR","Carlota","2010_10",0,0.0336134454,3.3613445378,"2010-10-22",10.1,0.2,63.4,129.5,11.81,13.83,13.23,13.3,21.1364375,19.7411527778,18.0058402778,17.957125,26.86,24.87,24.32,21.85
1,"CGR","Carlota","2010_11",0,0.0376569038,3.7656903766,"2010-11-12",2.1,11.1,42.1,10.1,13.8,14.64,14.18,11.81,18.4991736111,19.7472847222,18.6378541667,21.1364375,24.33,23.45,20.06,26.86
1,"CGR","Guanandi","2009_12",0,0.0478723404,4.2553191489,"2009-12-11",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Guanandi","2010_01",0,0.1061452514,8.3798882682,"2010-01-15",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
1,"CGR","Guanandi","2010_02",0,0.0387596899,3.8759689922,"2010-02-05",35.4,30.8,74.4,86.7,18.03,15.66,18.5,19.04,20.5099236111,21.5180833333,22.0879403794,22.3545069444,22.6,26.02,23.79,27.73
1,"CGR","Guanandi","2010_03",0,0.0437956204,4.3795620438,"2010-03-12",0,31.3,15.4,70.7,19.03,17.12,18.8,16.34,21.7521666667,23.9212777778,22.4494444444,19.8557291667,23.92,30.14,26.26,24.26
1,"CGR","Guanandi","2010_04",1.3513513514,0.0965517241,7.5862068966,"2010-04-09",0,34.3,4.9,22.8,11.29,12.73,18.03,19.03,16.9937916667,17.8195486111,22.7165694444,22.9207916667,24.82,24.53,27.36,28.94
1,"CGR","Guanandi","2010_05",0,0.0253164557,2.1097046414,"2010-05-14",10.4,19.2,0,0,7.16,7.22,14.6,16.97,13.8423263889,12.3918333333,19.9220069444,21.826125,21.33,19.26,24.39,28.57
1,"CGR","Guanandi","2010_06",0,0.0216450216,2.1645021645,"2010-06-11",1.4,0,17.6,19,10.16,7.49,8.1,9.69,16.4909166667,13.6637083333,13.1601736111,15.1970833333,23.94,20.46,19.87,19.43
1,"CGR","Guanandi","2010_07",0.4201680672,0.0085470085,0.8547008547,"2010-07-09",0,0,0,0,4.01,14.22,11.82,14.08,8.3825152778,20.6605902778,18.9426736111,21.4920902778,13.12,28.74,26.73,29.07
1,"CGR","Guanandi","2010_08",0,0,0,"2010-08-06",0,0,0,9.7,5,8.7,11.42,7.89,10.7849354167,11.69825,19.0854722222,8.9389583333,19.33,15.52,24.85,10.84
1,"CGR","Guanandi","2010_09",0,0.0134529148,1.3452914798,"2010-09-21",20.1,0,0,0,16.49,13.91,11.56,17.29,23.6859236111,19.3714652778,17.4412152778,26.6401944444,32.55,29.1,25.43,33.99
1,"CGR","Guanandi","2010_10",0,0.0168067227,1.6806722689,"2010-10-22",10.1,0.2,63.4,129.5,11.81,13.83,13.23,13.3,21.1364375,19.7411527778,18.0058402778,17.957125,26.86,24.87,24.32,21.85
1,"CGR","Guanandi","2010_11",0,0.0416666667,3.75,"2010-11-12",2.1,11.1,42.1,10.1,13.8,14.64,14.18,11.81,18.4991736111,19.7472847222,18.6378541667,21.1364375,24.33,23.45,20.06,26.86
1,"CGR","Planalto","2009_12",0,0.1158798283,10.7296137339,"2009-12-11",113.5,91.3,76.6,14.9,17.69,19.43,19.48,18.54,20.784625,22.3162361111,22.2081666667,23.7471111111,25.15,24.76,27.63,29.13
1,"CGR","Planalto","2010_01",0,0.0765957447,6.8085106383,"2010-01-15",86.7,3.5,28.5,58.3,19.04,19.15,19.65,16.34,22.3545069444,20.7846597222,23.0688333333,19.8557291667,27.73,22.85,27.46,24.26
1,"CGR","Planalto","2010_02",0,0.0762711864,7.6271186441,"2010-02-05",35.4,30.8,74.4,86.7,18.03,15.66,18.5,19.04,20.5099236111,21.5180833333,22.0879403794,22.3545069444,22.6,26.02,23.79,27.73
1,"CGR","Planalto","2010_03",0,0.050209205,4.6025104603,"2010-03-12",0,31.3,15.4,70.7,19.03,17.12,18.8,16.34,21.7521666667,23.9212777778,22.4494444444,19.8557291667,23.92,30.14,26.26,24.26
1,"CGR","Planalto","2010_04",0,0.0462184874,3.3613445378,"2010-04-09",0,34.3,4.9,22.8,11.29,12.73,18.03,19.03,16.9937916667,17.8195486111,22.7165694444,22.9207916667,24.82,24.53,27.36,28.94
1,"CGR","Planalto","2010_05",0.8333333333,0.0084033613,0.8403361345,"2010-05-14",10.4,19.2,0,0,7.16,7.22,14.6,16.97,13.8423263889,12.3918333333,19.9220069444,21.826125,21.33,19.26,24.39,28.57
1,"CGR","Planalto","2010_06",0,0.0211864407,2.1186440678,"2010-06-11",1.4,0,17.6,19,10.16,7.49,8.1,9.69,16.4909166667,13.6637083333,13.1601736111,15.1970833333,23.94,20.46,19.87,19.43
1,"CGR","Planalto","2010_07",0,0.0084033613,0.8403361345,"2010-07-09",0,0,0,0,4.01,14.22,11.82,14.08,8.3825152778,20.6605902778,18.9426736111,21.4920902778,13.12,28.74,26.73,29.07
1,"CGR","Planalto","2010_08",0,0,0,"2010-08-06",0,0,0,9.7,5,8.7,11.42,7.89,10.7849354167,11.69825,19.0854722222,8.9389583333,19.33,15.52,24.85,10.84
1,"CGR","Planalto","2010_09",0,0.0084388186,0.8438818565,"2010-09-21",20.1,0,0,0,16.49,13.91,11.56,17.29,23.6859236111,19.3714652778,17.4412152778,26.6401944444,32.55,29.1,25.43,33.99
1,"CGR","Planalto","2010_10",0.8333333333,0.0756302521,6.3025210084,"2010-10-22",10.1,0.2,63.4,129.5,11.81,13.83,13.23,13.3,21.1364375,19.7411527778,18.0058402778,17.957125,26.86,24.87,24.32,21.85
1,"CGR","Planalto","2010_11",0,0.0630252101,5.0420168067,"2010-11-12",2.1,11.1,42.1,10.1,13.8,14.64,14.18,11.81,18.4991736111,19.7472847222,18.6378541667,21.1364375,24.33,23.45,20.06,26.86
2,"CGR","Carlota","2010_12",0,0.04,2.6666666667,"2010-12-10",0.6,1.6,21.6,31.4,18.03,15.66,17.76,16.34,20.5099236111,21.5180833333,23,19.8557291667,22.6,26.02,29.18,24.26
2,"CGR","Carlota","2011_02",0,0.0649350649,6.4935064935,"2011-02-25",105,50,150,NA,19.26,18.24,19.2,19.7,20.497,22.0941388889,22.1462361111,22.4646458333,21.87,27.63,27.6,29.4
2,"CGR","Carlota","2011_03",0,0.0612244898,6.1224489796,"2011-03-18",0.2,210,170,NA,18.05,18.57,18.84,19.26,20.4251458333,22.4182777778,20.4569583333,20.497,25.68,27.33,23.07,21.87
2,"CGR","Carlota","2011_04",0,0.0206185567,1.0309278351,"2011-04-15",0.5,0.25,180,NA,18.06,14.59,16.64,18.91,23.0937083333,21.1931736111,20.9951666667,21.7019166667,31.36,26.86,23.48,28.74
2,"CGR","Carlota","2011_05",0,0.0208333333,2.0833333333,"2011-05-13",80,75,150,NA,10.02,14.7,8.63,16.4,13.82875,20.7071597222,13.7700347222,20.0217916667,20.06,28.94,17.8,25.98
2,"CGR","Carlota","2011_06",0,0,0,"2011-06-10",34,7,120,NA,11.83,9.7,10.49,11.15,15.7230347222,15.7952361111,16.9913611111,18.1485833333,20.21,23.54,25.46,24.07
2,"CGR","Carlota","2011_07",0,0,0,"2011-07-15",0,0,0,0,14.62,10.37,5.76,2,21.6237777778,16.9965902778,11.6880777778,7.4580152778,30.21,25.08,17.69,14.26
2,"CGR","Carlota","2011_08",0,0.01,1,"2011-08-12",0,6.8,0,11.8,16.79,3,7.22,13.36,23.3485694444,9.9228708333,9.8650833333,15,30.3,19.55,14.46,18.88
2,"CGR","Carlota","2011_09",0,0,0,"2011-09-16",22,7.4,0,22,15.07,13.3,9.16,15.79,22.4950069444,16.2373888889,18.0264861111,21.5340138889,27.45,23.36,28.27,27.66
2,"CGR","Carlota","2011_10",0,0.02,1,"2011-10-21",83,47.2,33.6,25,15.91,14.84,16.49,15.93,21.6014930556,20.6543611111,22.5190138889,20.7526944444,28.57,22.86,28.27,27.15
2,"CGR","Carlota","2011_11",0,0.02,2,"2011-11-11",16.8,53.8,9.6,83,16.44,15.1,13.43,15.91,20.2052361111,21.6102638889,19.4095763889,21.6014930556,23.25,28.94,25.72,28.57
2,"CGR","Carlota","2011_12",0,0,0,"2011-12-09",66.8,0.4,17.4,87.2,18.76,15.75,16.76,14.27,22.8328125,20.8003888889,23.8836666667,20.5945,27.9,29,30.81,26.09
2,"CGR","Carlota","2012_01",0,0.04,4,"2012-01-13",81.2,34.4,35.8,0,18.03,15.66,18.43,19.16,20.5099236111,21.5180833333,23.8370069444,22.81,22.6,26.02,29.97,29.54
2,"CGR","Guanandi","2010_12",0,0.0842105263,7.3684210526,"2010-12-10",0.6,1.6,21.6,31.4,18.03,15.66,17.76,16.34,20.5099236111,21.5180833333,23,19.8557291667,22.6,26.02,29.18,24.26
2,"CGR","Guanandi","2011_01",0,0.1546391753,10.3092783505,"2011-01-14",38.2,6.6,52.4,4.2,18.03,15.66,17.76,16.34,20.5099236111,21.5180833333,23,19.8557291667,22.6,26.02,29.18,24.26
2,"CGR","Guanandi","2011_02",0,0.0375,3.75,"2011-02-25",105,50,150,NA,19.26,18.24,19.2,19.7,20.497,22.0941388889,22.1462361111,22.4646458333,21.87,27.63,27.6,29.4
2,"CGR","Guanandi","2011_03",0,0.0618556701,4.1237113402,"2011-03-18",0.2,210,170,NA,18.05,18.57,18.84,19.26,20.4251458333,22.4182777778,20.4569583333,20.497,25.68,27.33,23.07,21.87
2,"CGR","Guanandi","2011_04",0,0.0721649485,6.1855670103,"2011-04-15",0.5,0.25,180,NA,18.06,14.59,16.64,18.91,23.0937083333,21.1931736111,20.9951666667,21.7019166667,31.36,26.86,23.48,28.74
2,"CGR","Guanandi","2011_05",0,0.0707070707,5.0505050505,"2011-05-13",80,75,150,NA,10.02,14.7,8.63,16.4,13.82875,20.7071597222,13.7700347222,20.0217916667,20.06,28.94,17.8,25.98
2,"CGR","Guanandi","2011_06",0,0.01,1,"2011-06-10",34,7,120,NA,11.83,9.7,10.49,11.15,15.7230347222,15.7952361111,16.9913611111,18.1485833333,20.21,23.54,25.46,24.07
2,"CGR","Guanandi","2011_07",0,0,0,"2011-07-15",0,0,150,NA,14.62,10.37,5.76,2,21.6237777778,16.9965902778,11.6880777778,7.4580152778,30.21,25.08,17.69,14.26
2,"CGR","Guanandi","2011_08",0,0.0519480519,3.8961038961,"2011-08-12",0,6.8,0,11.8,16.79,3,7.22,13.36,23.3485694444,9.9228708333,9.8650833333,15,30.3,19.55,14.46,18.88
2,"CGR","Guanandi","2011_09",0,0.0208333333,2.0833333333,"2011-09-16",22,7.4,0,22,15.07,13.3,9.16,15.79,22.4950069444,16.2373888889,18.0264861111,21.5340138889,27.45,23.36,28.27,27.66
2,"CGR","Guanandi","2011_10",0,0.032967033,3.2967032967,"2011-10-21",83,47.2,33.6,25,15.91,14.84,16.49,15.93,21.6014930556,20.6543611111,22.5190138889,20.7526944444,28.57,22.86,28.27,27.15
2,"CGR","Guanandi","2011_11",0,0.0531914894,5.3191489362,"2011-11-11",16.8,53.8,9.6,83,16.44,15.1,13.43,15.91,20.2052361111,21.6102638889,19.4095763889,21.6014930556,23.25,28.94,25.72,28.57
2,"CGR","Guanandi","2011_12",0,0.0729166667,5.2083333333,"2011-12-09",66.8,0.4,17.4,87.2,18.76,15.75,16.76,14.27,22.8328125,20.8003888889,23.8836666667,20.5945,27.9,29,30.81,26.09
2,"CGR","Guanandi","2012_01",0,0.0816326531,7.1428571429,"2012-01-13",81.2,34.4,35.8,0,18.03,15.66,18.43,19.16,20.5099236111,21.5180833333,23.8370069444,22.81,22.6,26.02,29.97,29.54
2,"CGR","Planalto","2010_12",0,0.1363636364,10.2272727273,"2010-12-10",0.6,1.6,21.6,31.4,18.03,15.66,17.76,16.34,20.5099236111,21.5180833333,23,19.8557291667,22.6,26.02,29.18,24.26
2,"CGR","Planalto","2011_01",0,0.0857142857,8.5714285714,"2011-01-14",38.2,6.6,52.4,4.2,18.03,15.66,17.76,16.34,20.5099236111,21.5180833333,23,19.8557291667,22.6,26.02,29.18,24.26
2,"CGR","Planalto","2011_02",0,0.1666666667,13.5416666667,"2011-02-25",105,50,170,NA,19.26,18.24,19.2,19.7,20.497,22.0941388889,22.1462361111,22.4646458333,21.87,27.63,27.6,29.4
2,"CGR","Planalto","2011_03",0,0.1,8,"2011-03-18",0.2,210,180,NA,18.05,18.57,18.84,19.26,20.4251458333,22.4182777778,20.4569583333,20.497,25.68,27.33,23.07,21.87
2,"CGR","Planalto","2011_04",0,0.1020408163,9.1836734694,"2011-04-15",0.5,0.25,150,NA,18.06,14.59,16.64,18.91,23.0937083333,21.1931736111,20.9951666667,21.7019166667,31.36,26.86,23.48,28.74
2,"CGR","Planalto","2011_05",0,0.0638297872,5.3191489362,"2011-05-13",80,75,120,NA,10.02,14.7,8.63,16.4,13.82875,20.7071597222,13.7700347222,20.0217916667,20.06,28.94,17.8,25.98
2,"CGR","Planalto","2011_06",0,0.0344827586,2.2988505747,"2011-06-10",34,7,150,NA,11.83,9.7,10.49,11.15,15.7230347222,15.7952361111,16.9913611111,18.1485833333,20.21,23.54,25.46,24.07
2,"CGR","Planalto","2011_07",0,0.0306122449,3.0612244898,"2011-07-15",0,0,0,0,14.62,10.37,5.76,2,21.6237777778,16.9965902778,11.6880777778,7.4580152778,30.21,25.08,17.69,14.26
2,"CGR","Planalto","2011_08",0,0.0303030303,2.0202020202,"2011-08-12",0,6.8,0,11.8,16.79,3,7.22,13.36,23.3485694444,9.9228708333,9.8650833333,15,30.3,19.55,14.46,18.88
2,"CGR","Planalto","2011_09",0,0.03,1,"2011-09-16",22,7.4,0,22,15.07,13.3,9.16,15.79,22.4950069444,16.2373888889,18.0264861111,21.5340138889,27.45,23.36,28.27,27.66
2,"CGR","Planalto","2011_10",0,0.0833333333,6.25,"2011-10-21",83,47.2,33.6,25,15.91,14.84,16.49,15.93,21.6014930556,20.6543611111,22.5190138889,20.7526944444,28.57,22.86,28.27,27.15
2,"CGR","Planalto","2011_11",0,0.0309278351,3.0927835052,"2011-11-11",16.8,53.8,9.6,83,16.44,15.1,13.43,15.91,20.2052361111,21.6102638889,19.4095763889,21.6014930556,23.25,28.94,25.72,28.57
2,"CGR","Planalto","2011_12",0,0.1368421053,5.2631578947,"2011-12-09",66.8,0.4,17.4,87.2,18.76,15.75,16.76,14.27,22.8328125,20.8003888889,23.8836666667,20.5945,27.9,29,30.81,26.09
2,"CGR","Planalto","2012_01",0,0.0243902439,2.4390243902,"2012-01-13",81.2,34.4,35.8,0,18.03,15.66,18.43,19.16,20.5099236111,21.5180833333,23.8370069444,22.81,22.6,26.02,29.97,29.54
1,"PNM","Areia","2009_12",0,0.0427350427,3.4188034188,"2009-12-04",0,0,0,0,23.6428571429,23.475,23.6,23.3333333333,25.8285714286,25.5,25.7857142857,25.6,28.5,28.575,28.8714285714,28.9333333333
1,"PNM","Areia","2010_01",0,0.017167382,1.2875536481,"2010-01-15",78.9,0.7,0.9,4.1,24.3,24.25,24.1666666667,24.0285714286,26.3,25.9333333333,25.85,26.1857142857,29.2571428571,27.9666666667,28.0166666667,29.4714285714
1,"PNM","Areia","2010_02",0.645497224393723,0.0170212766,1.7021276596,"2010-02-05",0,0.8,3,78.9,24.1333333333,24.2571428571,24.3,24.3,26.7,26.1714285714,26.1666666667,26.3,30.0666666667,28.8,28.7,29.2571428571
1,"PNM","Areia","2010_03",0,0.0083333333,0.4166666667,"2010-03-12",0,0,0,58.9,26.2333333333,25.2,24.6714285714,24.72,28.0166666667,27.5,26.7142857143,26.82,30.15,30.94,29.7428571429,29.8
1,"PNM","Areia","2010_04",0,0.025,2.0833333333,"2010-04-09",20.5,17.6,45,0,25.3857142857,25.3,25.3,25.15,27.3285714286,26.85,26.9571428571,27.2833333333,30.3142857143,28.85,29.2857142857,30.5666666667
1,"PNM","Areia","2010_05",0,0.0210084034,2.1008403361,"2010-05-07",81.2,0,43.1,28.2,24.7833333333,24.76,24.525,25.2166666667,26.8833333333,27.16,26.625,26.9666666667,29.8,30.4,29.375,29.35
1,"PNM","Areia","2010_06",0,0.0084745763,0.8474576271,"2010-06-11",0,20.6,0,0,24,24.9666666667,24.6857142857,24.3714285714,26.2833333333,27.0166666667,27.0857142857,26.7285714286,29.3,29.6833333333,30.4,30.0285714286
1,"PNM","Areia","2010_07",0.645497224393723,0.025210084,2.1008403361,"2010-07-09",0,0,0,58.9,22.4571428571,22.8857142857,23.4428571429,23.42,25.0714285714,25.3428571429,25.6571428571,25.32,28.2142857143,28.4428571429,28.7142857143,27.64
1,"PNM","Areia","2010_08",0.645497224393723,0.0173160173,1.7316017316,"2010-08-06",0,69.1,0,0,22.04,22.3,22.6666666667,23.2857142857,24.28,24.4,24.95,25.3,27.42,26.95,27.9166666667,28.0714285714
1,"PNM","Areia","2010_09",0,0.0381355932,2.9661016949,"2010-09-17",0,0,0,0,21.6714285714,21.7285714286,22.0666666667,22.1,24.4,24.3571428571,24.5833333333,24.7,28,27.9,28.0166666667,28.1714285714
1,"PNM","Areia","2010_10",0,0.0041666667,0.4166666667,"2010-10-22",0,0,0,0,23.525,22.9714285714,22.4714285714,22.6,25.8,25.4714285714,25.1285714286,24.95,29.05,28.9571428571,29.0428571429,28.4
1,"PNM","Areia","2010_11",0.645497224393723,0.0291666667,2.5,"2010-11-12",0,0,0,0,23.4166666667,23.4333333333,23.8,23.525,25.6666666667,25.725,25.6857142857,25.8,28.85,29.075,28.7857142857,29.05
1,"PNM","Emaus","2009_12",0.646846227321455,0.0126582278,1.2658227848,"2009-12-04",0,0,0,0,23.6428571429,23.475,23.6,23.3333333333,25.8285714286,25.5,25.7857142857,25.6,28.5,28.575,28.8714285714,28.9333333333
1,"PNM","Emaus","2010_01",0,0,0,"2010-01-15",78.9,0.7,0.9,4.1,24.3,24.25,24.1666666667,24.0285714286,26.3,25.9333333333,25.85,26.1857142857,29.2571428571,27.9666666667,28.0166666667,29.4714285714
1,"PNM","Emaus","2010_02",0.645497224393723,0.0421940928,4.2194092827,"2010-02-05",0,0.8,3,78.9,24.1333333333,24.2571428571,24.3,24.3,26.7,26.1714285714,26.1666666667,26.3,30.0666666667,28.8,28.7,29.2571428571
1,"PNM","Emaus","2010_03",0.645497224393723,0.0420168067,4.2016806723,"2010-03-12",0,0,0,58.9,26.2333333333,25.2,24.6714285714,24.72,28.0166666667,27.5,26.7142857143,26.82,30.15,30.94,29.7428571429,29.8
1,"PNM","Emaus","2010_04",0.645497224393723,0.017167382,1.7167381974,"2010-04-09",20.5,17.6,45,0,25.3857142857,25.3,25.3,25.15,27.3285714286,26.85,26.9571428571,27.2833333333,30.3142857143,28.85,29.2857142857,30.5666666667
1,"PNM","Emaus","2010_05",0.645497224393723,0.0223214286,1.7857142857,"2010-05-07",81.2,0,43.1,28.2,24.7833333333,24.76,24.525,25.2166666667,26.8833333333,27.16,26.625,26.9666666667,29.8,30.4,29.375,29.35
1,"PNM","Emaus","2010_06",0,0.025,2.0833333333,"2010-06-11",0,20.6,0,0,24,24.9666666667,24.6857142857,24.3714285714,26.2833333333,27.0166666667,27.0857142857,26.7285714286,29.3,29.6833333333,30.4,30.0285714286
1,"PNM","Emaus","2010_07",1.70782512766969,0.0291666667,2.9166666667,"2010-07-09",0,0,0,58.9,22.4571428571,22.8857142857,23.4428571429,23.42,25.0714285714,25.3428571429,25.6571428571,25.32,28.2142857143,28.4428571429,28.7142857143,27.64
1,"PNM","Emaus","2010_08",1.11803398874989,0.0344827586,3.0172413793,"2010-08-06",0,69.1,0,0,22.04,22.3,22.6666666667,23.2857142857,24.28,24.4,24.95,25.3,27.42,26.95,27.9166666667,28.0714285714
1,"PNM","Emaus","2010_09",0.645497224393723,0.0254237288,1.6949152542,"2010-09-17",0,0,0,0,21.6714285714,21.7285714286,22.0666666667,22.1,24.4,24.3571428571,24.5833333333,24.7,28,27.9,28.0166666667,28.1714285714
1,"PNM","Emaus","2010_10",0,0.0127659574,1.2765957447,"2010-10-22",0,0,0,0,23.525,22.9714285714,22.4714285714,22.6,25.8,25.4714285714,25.1285714286,24.95,29.05,28.9571428571,29.0428571429,28.4
1,"PNM","Emaus","2010_11",0,0.0344827586,3.4482758621,"2010-11-12",0,0,0,0,23.4166666667,23.4333333333,23.8,23.525,25.6666666667,25.725,25.6857142857,25.8,28.85,29.075,28.7857142857,29.05
1,"PNM","Liberdade","2009_12",0,0.0390243902,3.9024390244,"2009-12-04",0,0,0,0,23.6428571429,23.475,23.6,23.3333333333,25.8285714286,25.5,25.7857142857,25.6,28.5,28.575,28.8714285714,28.9333333333
1,"PNM","Liberdade","2010_01",0,0,0,"2010-01-15",78.9,0.7,0.9,4.1,24.3,24.25,24.1666666667,24.0285714286,26.3,25.9333333333,25.85,26.1857142857,29.2571428571,27.9666666667,28.0166666667,29.4714285714
1,"PNM","Liberdade","2010_02",0,0.0083333333,0.8333333333,"2010-02-05",0,0.8,3,78.9,24.1333333333,24.2571428571,24.3,24.3,26.7,26.1714285714,26.1666666667,26.3,30.0666666667,28.8,28.7,29.2571428571
1,"PNM","Liberdade","2010_03",0,0.0214592275,2.1459227468,"2010-03-12",0,0,0,58.9,26.2333333333,25.2,24.6714285714,24.72,28.0166666667,27.5,26.7142857143,26.82,30.15,30.94,29.7428571429,29.8
1,"PNM","Liberdade","2010_04",1.44337567296252,0.0296610169,2.9661016949,"2010-04-09",20.5,17.6,45,0,25.3857142857,25.3,25.3,25.15,27.3285714286,26.85,26.9571428571,27.2833333333,30.3142857143,28.85,29.2857142857,30.5666666667
1,"PNM","Liberdade","2010_05",1.29913960493089,0.025751073,2.5751072961,"2010-05-07",81.2,0,43.1,28.2,24.7833333333,24.76,24.525,25.2166666667,26.8833333333,27.16,26.625,26.9666666667,29.8,30.4,29.375,29.35
1,"PNM","Liberdade","2010_06",1.44337567296252,0.0041841004,0.4184100418,"2010-06-11",0,20.6,0,0,24,24.9666666667,24.6857142857,24.3714285714,26.2833333333,27.0166666667,27.0857142857,26.7285714286,29.3,29.6833333333,30.4,30.0285714286
1,"PNM","Liberdade","2010_07",1.70782512766969,0.0208333333,2.0833333333,"2010-07-09",0,0,0,58.9,22.4571428571,22.8857142857,23.4428571429,23.42,25.0714285714,25.3428571429,25.6571428571,25.32,28.2142857143,28.4428571429,28.7142857143,27.64
1,"PNM","Liberdade","2010_08",0.91287092915702,0.0466101695,4.6610169492,"2010-08-06",0,69.1,0,0,22.04,22.3,22.6666666667,23.2857142857,24.28,24.4,24.95,25.3,27.42,26.95,27.9166666667,28.0714285714
1,"PNM","Liberdade","2010_09",1.12037053044964,0.0889830508,6.3559322034,"2010-09-17",0,0,0,0,21.6714285714,21.7285714286,22.0666666667,22.1,24.4,24.3571428571,24.5833333333,24.7,28,27.9,28.0166666667,28.1714285714
1,"PNM","Liberdade","2010_10",0,0.0334728033,3.3472803347,"2010-10-22",0,0,0,0,23.525,22.9714285714,22.4714285714,22.6,25.8,25.4714285714,25.1285714286,24.95,29.05,28.9571428571,29.0428571429,28.4
1,"PNM","Liberdade","2010_11",1.29099444874872,0.0627615063,5.8577405858,"2010-11-12",0,0,0,0,23.4166666667,23.4333333333,23.8,23.525,25.6666666667,25.725,25.6857142857,25.8,28.85,29.075,28.7857142857,29.05
